,case title,judges name(s),date of judgment,citation,issues,decision,cited cases
4153,"Hindustan Polymers Etc. Etc vs Collector Of Central Excise, Etc. ...","Rangnathan, S.","23 August, 1989"," 1990 AIR  731, 1990 SCC  (1)	 59","Section 4 in the Central Excise Act, 1944 ; ",1,"{'union of india & ors. v. bombay tyre international ltd ': 0.8, 'collector of central excise v. indian oxygen ltd ': 0.8, 'alembic glass indus- tries ltd. v. union of india & ors ': 0.8, 'a.k. roy v. voltas ltd ': 0.8, 'atic industries ltd. v. h.h. dave assistant collector of central excise ': 0.8, 'union of india v. godfrey phillips india ltd ': 0.8, 'union of india v. delhi cloth & general mills ltd ': 1.0, 'bhor industries ltd., bombay v. collector of central excise, bombay ': 1.0, 'union of india v. godfrey phillips ltd ': 1.0, 'k. radha krishaiah v. inspector of central excise, gooty & ors ': 1.0, 'alembic glass industries ltd. v. union of india & ors ': 1.0, 'union of india v. bombay tyre international ltd ': 1.0, 'atic industries ltd. v. h.h. dave, assistant collector of central excise ': 1.0, 'govind pay oxygen ltd. v. assistant collector of central excise, panaji & ors ': 1.0, 'alembic glass industries v. union of india & ors ': 1.0}"
4154,State Of U.P. Through C.B.I. ... vs R.K. Srivastava And Another,"Dutt, M.M. (J)","11 August, 1989"," 1989 AIR 2222, 1989 SCR  (3) 834",Section 471 in The Indian Penal Code ; Section 420 in The Indian Penal Code ; Section 468 in The Indian Penal Code ; ,0,{}
4155,Kashiram Yadav & Anr vs Oriental Fire & Gen. Insurance Co. ...,"Shetty, K.J. (J)","10 August, 1989"," 1989 AIR 2002, 1989 SCR  (3) 811","Section 96 in The Motor Vehicles Act, 1988 ; Section 2 in The Motor Vehicles Act, 1988 ; ",0,{'f] skandia insurance co. ltd. v. kokilaben chandravadan and ors ': 1.0}
4156,Bajaj Auto Limited vs Behari Lal Kohli,"Sharma, L.M. (J)","8 August, 1989"," 1989 AIR 1806, 1989 SCR  (3) 730","Section 14 in The Delhi Rent Act, 1995 ; Section 49 in The Registration Act, 1908 ; ",0,"{'g] m/s shalimar tar products v. s.c. sharma ': 1.0, 'in m/s. shalimar tar products v. s.c. sharma ': 1.0}"
4157,Harbans Lal & Ors vs State Of Himachal Pradesh & Ors,"Shetty, K.J. (J)","1 August, 1989"," 1989 SCR  (3) 662, 1989 SCC  (4) 459",Article 14 in The Constitution Of India 1949 ; ,0,"{'meva ram kanojia v. all india institute of medical sciences & anr ': 0.8, 'randhir singh v. union of india ': 0.8, 'state of u.p. v. j.p. chaurasia ': 1.0, 'meva ram kanojia v. all india institute of medical sciences and anr ': 1.0}"
4158,Baidyanath Mahapatra vs State Of Orissa & Anr,"Singh, K.N. (J)","10 August, 1989"," 1989 AIR 2218, 1989 SCR  (3) 803","Section 29 in The Administrative Tribunals Act, 1985 ; ",0,"{'union of india v. j.n. sinha ': 1.0, '809a] brij mohan chopra v. state of punjab ': 1.0}"
4159,Abdul Khader Rowther vs P.K. Sara Bai And Ors.,"M Kania, T Thommen","28 August, 1989"," 1989 (43) ELT 797 A SC, JT 1989 (3) SC 527, 1989 (2) SCALE 1464, 1989 (2) UJ 696 SC",,0,{'in ouseph varghese v. joseph aley and ors ': 1.0}
4160,"Star Paper Mills Ltd vs Collector Of Central Excise, ...","Ojha, N.D. (J)","22 August, 1989"," 1989 AIR 2066, 1989 SCR  (3) 892","Section 2 in The Salt Cess Act, 1953 ; Section 3 in The Salt Cess Act, 1953 ; ",1,"{'m/s j.k. cotton spinning & weaving mills v. sales tax officer, nagpur and another ': 0.8, 'bhor industries ltd. bombay v. collector of central excise, bombay ': 0.8, 'in m/s j.k. cotton spinning & weaving mills co. ltd. v. sales tax officer, kanpur and another ': 1.0, 'in bhor industries ltd., bombay v. collector of central excise, bombay ': 1.0}"
4161,Mir Mohd. Omar & Ors vs State Of West Bengal,"Shetty, K.J. (J)","8 August, 1989"," 1989 AIR 1785, 1989 SCR  (3) 735","Section 313 in The Code Of Criminal Procedure, 1973 ; Section 278 in The Code Of Criminal Procedure, 1973 ; Section 273 in The Code Of Criminal Procedure, 1973 ; section 313 of crpc ; ",1,{}
4162,Ramlal Khurana (Dead) By Lrs vs State Of Punjab & Ors,"Shetty, K.J. (J)","3 August, 1989"," 1989 AIR 1985, 1989 SCR  (3) 680",,1,{'t.c. sharma v. prithvi singh & ors ': 1.0}
4163,Karnal Leather Karamchari ... vs Liberty Footwear Company (Regd.) ...,"Shetty, K.J. (J)","31 August, 1989"," 1990 AIR  247, 1989 SCR  (3)1065","Section 10 in The Insurance Act, 1938 ; ",0,"{'f] romington rand of india ltd. v. the workmen ': 0.8, 'mineral industry association v. the union of india & anr ': 0.8, 'kathyee cotton mills ltd. v. district labour officer & ors ': 0.8, 'in remington rand of india ltd. v. the workmen ': 1.0, 'mineral industry association v. the union of india and another ': 1.0, 'kathyee cotton mills ltd. v. district labour officer and ors ': 1.0}"
4164,"Durand Didier vs Chief Secretary, Union Territory ...","Pandian, S.R. (J)","29 August, 1989"," 1989 AIR 1966, 1989 SCR  (3)1025","Section 27 in The Narcotic Drugs and Psychotropic Substances Act, 1985 ; Section 2 in The Narcotic Drugs and Psychotropic Substances Act, 1985 ; ",0,"{'state of punjab v. wasson singh and ors ': 1.0, 'sunder singh v. state of u.p ': 1.0, 'state of punjab v. wasson singh and five oth ': 1.0}"
4165,Smt. Bhagwanti And Anr vs Union Of India,Misra Rangnath,"29 August, 1989"," 1989 AIR 2088, 1989 SCR  (3)1010",Article 14 in The Constitution Of India 1949 ; Article 32 in The Constitution Of India 1949 ; article 14 and ultra vires ; ,1,"{'d.s. nakara & ors. v. union of india ': 0.8, 'deoki nanaan prasad v. state of bihar & ors ': 0.8, 'smt. poonamal v. union of india & ors ': 0.8, 'in d.s. nakara & ors. v. union of india ': 1.0, 'in deoki nandan prasad v. state of bihar & ors ': 1.0, 'in smt. poonamal v. union of india & ors ': 1.0}"
4166,Shantilal Rampuria & Ors vs Vega Trading Corporation & Ors,"Sharma, L.M. (J)","1 August, 1989"," 1989 AIR 1819, 1989 SCR  (3) 632","Section 13 in The Delhi Rent Act, 1995 ; Section 14 in The Delhi Rent Act, 1995 ; ",1,"{'h] m/s shalimar tar products ltd. v. h.c. sharma & ors ': 1.0, 'm/s shalimar tar products ltd. v. h.c. sharma and others ': 1.0}"
4167,Bank Of Baroda vs Rednam Nagachaya Devi,"K Singh, L Sharma, M Venkatachaliah","31 August, 1989"," AIR 1989 SC 2105, I (1990) BC 89 SC, 1990 68 COMPCAS 165 SC, JT 1989 (3) SC 597, 1989 (2) SCALE 489, (1989) 4 SCC 470, 1989 (2) UJ 590 SC","Article 14 in The Constitution Of India 1949 ; Section 4 in The Usurious Loans Act, 1918 ; ",0,"{'bank of india v. vijay transport and ors ': 0.8, 'tamil nadu , anil kumar neotia v. union of india ': 0.8, 'messrs kesho ram & co. v. union of india ': 0.8, 'in harman singh and ors. v. regional transport authority, calcutta and ors ': 1.0, 'in sri venkata seetaramanjaneya rico & oil mills and ors. v. state of andhra pradesh ': 1.0, 'rajpur ruda meha v. state of gujarat ': 1.0}"
4168,Mehta Ravindrarai Ajitrai ... vs State Of Gujarat,"Kania, M.H.","8 August, 1989"," 1989 AIR 2051, 1989 SCR  (3) 743","Section 4 in The Land Acquisition Act, 1894 ; Section 23 in The Land Acquisition Act, 1894 ; Article 136 in The Constitution Of India 1949 ; ",0,"{'administrator general of west bengal v. collector, varanasi ': 1.0}"
4169,Ossein And Gelatine ... vs Modi Alkalies And Chemicals Ltd. & ...,"Rangnathan, S.","10 August, 1989"," 1990 AIR 1744, 1989 SCR  (3) 815",,0,"{'b] oramco chemicals pvt. ltd. v. gwalior rayon silk ': 1.0, 'bombay oil industries v. union of india ': 1.0}"
4170,Senior Supdt. Of Post Office & Ors vs Izhar Hussain,Kuldip Singh (J),"10 August, 1989"," 1989 AIR 2262, 1989 SCR  (3) 796",Article 309 in The Constitution Of India 1949 ; Article 73 in The Constitution Of India 1949 ; rule 56 a fundamental rules ; 'article 309 ORR army rules 1954' ; ,0,"{'union of india & ors. v. r. narasimhan ': 1.0, 'union of india and others v. r. narasimhan ': 1.0}"
4171,Ramesh vs State Of Gujarat And Ors.,"M Dutt, S R Pandian","4 August, 1989"," AIR 1989 SC 1881, 1989 (3) CRIMES 65 SC, 1989 (25) ECR 479 SC, (1990) 1 GLR 17, JT 1989 (3) SC 279, 1989 (2) SCALE 168, (1989) 4 SCC 124 A",Article 32 in The Constitution Of India 1949 ; ,1,{'chhagan bhagwan kahar v. shri n.l. kalna and ors. judgments today ': 1.0}
4172,Kuldeep Singh And Others vs Punjab And Sind Bank And Other,"B Ray, S R Pandian","4 August, 1989"," AIR 1989 SC 1877, 1989 (59) FLR 367, JT 1989 (3) SC 285, 1989 LABLC 1951, (1989) IILLJ 457 SC, 1989 (2) SCALE 164, 1989 SUPP (2) SCC 230, 1989 (2) UJ 556 SC",,1,{}
4173,State Of Orissa vs Niranjan Swain,"Verma, Jagdish Saran (J)","10 August, 1989"," 1990 AIR  685, 1989 SCR  (3) 821",,1,"{'h] raipur development authority & ors. v. m/s chokhamal contractors and ors ': 0.8, 'state of orissa v. d.c. routray ': 0.8, 'g] executive engineer (irrigation), balimela & ors. v. abhaduta jena & ors ': 0.8, 'gujarat water supply and sewerage board v. unique erec ': 1.0, 'raipur development authority and others v. m/s chokhamal contractors and others ': 1.0, 'executive engineer (irrigation), balimela and others v. abhaduta jena and others ': 1.0, 'gujarat water supply and severage board v. unique erectors (gujarat) (p) ltd. and another ': 1.0}"
4174,Madhu Mehta vs Union Of India,"Mukharji, Sabyasachi (J)","9 August, 1989"," 1989 AIR 2299, 1989 SCR  (3) 774",Article 21 in The Constitution Of India 1949 ; Article 32 in The Constitution Of India 1949 ; Section 302 in The Indian Penal Code ; ,0,"{'t.v. vatheeswaran v. state of tamil nadu ': 0.8, 'sher singh & ors. v. the state of punjab ': 0.8, 'bachan singh v. state of punjab ': 1.0, 'smt. triveniben v. state of gujarat ': 1.0, 'in t.v. vatheeswaran v. state of tamil nadu ': 1.0}"
4175,Cardamom Planters ... vs Deputy Commissioner Of Sales Tax ...,"Rangnathan, S.","7 August, 1989"," 1989 AIR 2202, 1989 SCR  (3) 719","Section 2 in The Companies (Surcharge On Income- Tax) Act, 1971 ; Section 3 in The Companies (Surcharge On Income- Tax) Act, 1971 ; Section 5 in The Companies (Surcharge On Income- Tax) Act, 1971 ; ",0,{}
4176,Smt. Mainia vs Deputy Director Of Consolidation ...,"Verma, Jagdish Saran (J)","4 August, 1989"," 1989 AIR 1872, 1989 SCR  (3) 685",Article 226 in The Constitution Of India 1949 ; Article 136 in The Constitution Of India 1949 ; ,0,"{'ram jivan v. smt. phoola ': 1.0, 'chhiddoo singh v. deputy director of consolidation & others ': 1.0, 'badri prasad v. deputy director consolidation ': 1.0}"
4177,Municipal Corporation Of The City ... vs Babubhai Himatlal,"Oza, G.L. (J)","16 August, 1989"," 1989 AIR 2091, 1989 SCR  (3) 862",Article 266 in The Constitution Of India 1949 ; ,0,{}
4178,"Prathama Bank, Head Office ... vs Vijay Kumar Goel & Anr","Sharma, L.M. (J)","22 August, 1989"," 1989 AIR 1977, 1989 SCR  (3) 935","Article 12 in The Constitution Of India 1949 ; Section 3 in The Regional Rural Banks Act, 1976 ; ",0,"{'ajay hasia & ors. v. khalid mujib sheravardi & ors ': 0.8, 'central inland water transport corporation ltd. v. brojo nath ganguly ': 0.8, 'in ajay hasia and others v. khalid mujib shera ': 1.0, 'central inland water trans- port corporation ltd. and another v. brojo nath ganguly and another ': 1.0}"
4179,Smt. Lata Devi (Mall) vs Haru Rajwar,"Saikia, K.N. (J)","22 August, 1989"," 1990 AIR   19, 1989 SCR  (3) 921","Section 100 in The Representation of the People Act, 1951 ; ",1,"{'vashist narain sharma v. dev chandra & ors ': 0.8, 'khan v. diwanchand mahajan & ors ': 0.8, 'shiv charan singh v. chandra bhan singh ': 0.8, 'chhedi ram v. jhilmit ram & ors ': 0.8, ""all party hill leaders' conference, shillong v. captain w.a. sangama "": 0.8, ""ah party hill leaders' conference, shillong v. captain w.a. sangama "": 1.0, 'roop lal sathi v. nachhattar singh gill ': 1.0, 'in inayatullah khan v. diwanchand mahajan & ors ': 1.0, 'inayatullah v. diwanchand mahajan ': 1.0, 'in chhedi ram v. jhilmit ram and ors ': 1.0, ""all party hill leaders' conference, shillong v. captain w.a. sangma "": 1.0, 'in roop lal sathi v. nachhattar singh gill ': 1.0}"
4180,Dwarka Nath Sharma vs Union Of India & Ors,Misra Rangnath,"8 August, 1989"," 1990 AIR  428, 1989 SCR  (3) 767",Article 16 in The Constitution Of India 1949 ; ,0,"{'d] a. janardhana v. union of india & ors ': 1.0, 'g] bachan singh v. union of india ': 1.0}"
4181,Lalit Kumar Sharma And Ors. vs Superintendent And Remembrancer ...,"G Oza, S R Pandian","31 August, 1989"," AIR 1989 SC 2134, 1989 CRILJ 2297, 1989 (3) CRIMES 193 SC, JT 1989 (3) SC 549, 1989 (2) SCALE 477, 1989 SUPP (2) SCC 140",Section 148 in The Indian Penal Code ; Section 149 in The Indian Penal Code ; Section 379 in The Indian Penal Code ; Section 324 in The Indian Penal Code ; ,0,{}
4182,Manikandan vs Pandian And Ors.,"K J Shetty, L Sharma","23 August, 1989"," 1989 (2) SCALE 1461, 1989 SUPP (2) SCC 648, 1989 (2) UJ 710 SC","Section 302 in The Indian Penal Code ; Section 307 in The Indian Penal Code ; Section 482 in The Code Of Criminal Procedure, 1973 ; Section 324 in The Indian Penal Code ; ",1,{'harjinder singh v. state of punjab ': 1.0}
4183,Janak Lal vs State Of Maharashtra & Ors,"Sharma, L.M. (J)","10 August, 1989"," 1989 AIR 2225, 1989 SCR  (3) 830",Article 226 in The Constitution Of India 1949 ; ,1,{}
4184,Dattatrya Shankarbhat Ambalgi & ... vs State Of Maharashtra & Ors,"Ojha, N.D. (J)","1 August, 1989"," 1989 AIR 1796, 1989 SCR  (3) 616","Section 10 in The Urban Land (Ceiling and Regulation) Act, 1976 ; Section 11 in The Urban Land (Ceiling and Regulation) Act, 1976 ; Section 23 in The Urban Land (Ceiling and Regulation) Act, 1976 ; ",0,"{'e] maharao sahib shri bheem singh v. union of india and others ': 0.8, 'state of gujarat & others v. parshottamdas ramdas patel & others ': 0.8, 'nagar improvement dust & another v. vithal rao & oth ': 0.8, 'prakash chand amichand shah v. state of gujarat and others ': 1.0, 'in maharao sahib shri bheem singh v. union of india and others ': 1.0, 'nagpur improvement trust & another v. vithal rao & others ': 1.0}"
4185,Jagdish Parsad Sinha & Ors vs Bhagwat Prasad & Ors,Misra Rangnath,"1 August, 1989"," 1989 AIR 1794, 1989 SCR  (3) 658",Article 309 in The Constitution Of India 1949 ; 'article 309 ORR army rules 1954' ; ,0,{'k.s. vora & ors. v. state of gujarat & ors ': 1.0}
4186,Prakash Roadlines (Pvt.) Ltd vs Union Of India & Another,"Oza, G.L. (J)","1 August, 1989"," 1989 AIR 1962, 1989 SCR  (3) 650",Article 136 in The Constitution Of India 1949 ; ,0,{}
4187,State Of Rajasthan vs Botamal Sachdeva (Dead) Through ...,"M Kania, T Thommen","2 August, 1989"," AIR 1989 SC 1811, 1989 (2) ARBLR 354 SC, JT 1989 (3) SC 315, 1989 (2) SCALE 288, (1989) 4 SCC 35, 1989 (2) UJ 632 SC",,0,{}
4188,S. Maheswar Rao vs State Of Orissa And Anr.,"K Singh, M Kania","10 August, 1989"," 1989 (59) FLR 453, JT 1989 (3) SC 376, 1989 (2) SCALE 230, 1989 SUPP (2) SCC 248, 1989 (2) UJ 563 SC","Section 29 in The Administrative Tribunals Act, 1985 ; ",0,{'brij mohan chopra v. state of punjab ': 1.0}
4189,State Of Jammu And Kashmir vs Haji Ghulam Rasool Rather And Sons,"J Verma, L Sharma","7 August, 1989"," AIR 1989 SC 2125, 1989 (2) ARBLR 339 SC, JT 1989 (3) SC 339, 1989 (2) SCALE 226, (1989) 4 SCC 37, 1989 (2) UJ 474 SC",,1,"{'executive engineer (irrigation), balimela and ors. v. abhaduta jena and ors ': 1.0}"
4190,State Of Rajasthan & Anr vs Shantilal Etc,Kuldip Singh (J),"2 August, 1989"," 1989 SCC, SUPL.  (2) 777 JT 1989 (3)	273",Article 15 in The Constitution Of India 1949 ; Article 14 in The Constitution Of India 1949 ; Article 5 in The Constitution Of India 1949 ; article 14 and article 16 ; ,1,"{'h] reserve bank of india v. n.c. paliwal & ors ': 1.0, 'in reserve bank of india v. n.c. paliwal & others ': 1.0, 'mohanlal bakshi v. union of india ': 1.0}"
4191,Raneegunj Coal Association Ltd. ... vs Union Of India And Others,"M M Dutt, S Pandian, K Singh","8 August, 1989"," AIR 1990 SC 1879 A, 1989 (2) UJ 560 SC","Section 22 in The Coking Coal Mines (Nationalisation) Act, 1972 ; ",1,{}
4192,State Of Orissa vs J.P. Lath,"J Verma, L Sharma","7 August, 1989"," AIR 1989 SC 1987, 1989 (2) ARBLR 338 SC, JT 1989 (3) SC 340, 1989 (2) SCALE 289, (1989) 4 SCC 38, 1989 (2) UJ 475 SC","Section 39 in The Arbitration Act, 1940 ; ",1,"{'raipur development authority and ors. v. chokhamal contractors and ors ': 1.0, 'executive engineer (irrigation) palimela and ors. v. abhaduta jena and ors ': 1.0}"
4193,"Commissioner Of Income-Tax, ... vs Kaikobad Byramji And Sons","J Verma, N Ojha, S Ranganathan","10 August, 1989", 1989 179 ITR 569 SC,"Section 52 in The Income- Tax Act, 1995 ; ",1,"{'cit v. k. rathnam nadar ': 0.8, 'mad), cit v. chunilal prabhudas ': 0.8, 'co. , jagdev singh mumick v. cit ': 1.0, 'cit v. e. c. jacob [fb ': 1.0, 'cit v. b.c. srinivasa setty ': 1.0}"
4194,Raneegunj Coal Association Ltd. ... vs Union Of India (Uoi) And Ors.,"K Singh, M Dutt, S R Pandian","8 August, 1989"," AIR 1990 SC 1879, 1990 67 COMPCAS 431 SC, JT 1989 (3) SC 336, 1989 (2) SCALE 227, 1989 SUPP (2) SCC 271","Section 22 in The Coking Coal Mines (Nationalisation) Act, 1972 ; ",1,{}
4195,Brick And Tile Manufacturers ... vs State Of Tamil Nadu And Ors.,"S Mukharji, B Ray","25 August, 1989", 1990 76 STC 1 SC,Article 226 in The Constitution Of India 1949 ; ,0,{}
4196,All India Bank Officers' ... vs Union Of India & Ors,"Thommen, T.K. (J)","14 August, 1989"," 1989 AIR 2045, 1989 SCR  (3) 850","Section 9 in THE BANKING COMPANIES (ACQUISITION AND TRANSFER OF UNDERTAKINGS) ACT, 1970 ; Article 139 in The Constitution Of India 1949 ; ",0,{}
4197,Punjab State Civil Supplies ... vs Tilak Raj Sharma,"A Ahmadi, K J Shetty","23 August, 1989"," 1989 (2) SCALE 475, 1989 SUPP (2) SCC 641, 1990 (1) UJ 3 SC",,1,{}
4198,Abad Dairy Dudh Vitran Kendra ... vs Abad Dairy And Ors.,"S Ranganathan, N Ojha, J Verma","8 August, 1989"," 1990 (60) FLR 282, (1993) IIILLJ 855 SC",Article 136 in The Constitution Of India 1949 ; ,1,{}
4199,Lt. Col. K.D. Gupta vs Union Of India (Uoi) And Anr.,"M Dutt, R Misra","3 August, 1989"," 1989 (25) ECR 437 SC, 1990 181 ITR 630 SC, JT 1989 (3) SC 283, (1989) 3 SCC 566",,1,{}
4200,Gurbachan Singh vs Satpal Singh & Ors,"Mukharji, Sabyasachi (J)","26 September, 1989"," 1990 AIR  209, 1989 SCR  SUPL. (1) 292","Section 306 in The Indian Penal Code ; Section 161 in The Code Of Criminal Procedure, 1973 ; ",1,"{'wazir chand and anr. v. state of haryana ': 0.8, 'state of haryana v. wazir chand ': 0.8, 'sat pal v. delhi administration ': 0.8, 'brij lal v. prem chand & anr. jt ': 1.0, 'wazir chand and another v. state of haryana ': 1.0, 'brij lal v. prem chand & anr., jt ': 1.0}"
4201,S.S. Rathore vs State Of Madhya Pradesh,"Venkataramiah, E.S. (Cj), Mukharji, Sabyasachi (J), Misra Rangnath, Oza, G.L. (J) Ray, B.C. (J), Singh, K.N. (J) Natrajan, S. (J)","6 September, 1989"," 1990 AIR   10, 1989 SCR  SUPL. (1)  43","Article 226 in The Constitution Of India 1949 ; Article 58 in The Constitution Of India 1949 ; Section 20 in The Administrative Tribunals Act, 1985 ; ",0,"{'sita ram goel v. the municipal board, kanpur & ors ': 0.8, 'madan gopal rungta v. secretary to the government of orissa ': 0.8, 'pierce leslie co. ltd. v. violet ouchterlony wapshare & ors ': 0.8, 'state of uttar pradesh v. muhammad nooh ': 0.8, 'collector of customs, calcutta v. east india commercial co. ltd ': 0.8, 'somnath sahu v. state of orissa & ors ': 1.0, 'raghuvir jha v. state of bihar & ors ': 1.0, 'pierce leslie & co. ltd. v. violet ouchterlony wapshare & ors ': 1.0, 'state uttar pradesh v. mohammad nooh ': 1.0, 'batuk nath v. munni dei ': 1.0, 'jowad hussain v. gendan singh ': 1.0, 'in madan gopal rungta v. secretary to the government of orissa ': 1.0, 'collector of customs, calcutta v. east india commer ': 1.0, 'raghubir jha v. state of bihar & ors ': 1.0}"
4202,State Of Maharashtra vs Captain Buddhikota Subha Rao,"Ahmadi, A.M. (J)","29 September, 1989"," 1989 AIR 2292, 1989 SCR  SUPL. (1) 315",Article 136 in The Constitution Of India 1949 ; Article 22 in The Constitution Of India 1949 ; ,0,{'shahzad hasan khan v. ishtiaq hasan khan ': 1.0}
4203,B.R. Singh & Ors. Etc. Etc vs Union Of India &-Ors,"Ahmadi, A.M. (J)","26 September, 1989"," 1990 AIR, 1		  1989 SCR  SUPL. (1) 257","Section 22 in The Industrial Disputes Act, 1947 ; Section 23 in The Industrial Disputes Act, 1947 ; ",1,{}
4204,"Collector Of Central Excise, New ... vs Ballarpur Industries Ltd","Venkatachalliah, M.N. (J)","29 September, 1989"," 1990 AIR  196, 1989 SCR  SUPL. (1) 341","Section 2 in The Salt Cess Act, 1953 ; ",0,"{'seshasayee paper and boards ltd. v. collector of central excise ': 0.8, 'c] deputy commissioner of sales tax, board of revenue v. thomas stephen & co. ltd., jt ': 0.8, 'collector of central excise v. eastend paper industries ltd ': 0.8, 'collector of central excise, nagpur v. ballarpur industries ltd., chan ': 0.8, 'collector of central excise, bhubaneshwar v. titaghur paper mills ': 1.0, 'in j.k. cotton spinning and weaving mills co. ltd. v. sales tax officer ': 1.0, 'deputy commissioner of sales tax, board of revenue v. thomas stephen & co., ltd., jt ': 1.0, 'collector of central excise, nagpur v. ballarpur industries ltd., chandrapur ': 1.0, 'deputy commissioner of sales tax, board of revenue v. thomas stephen & co. ltd ': 1.0}"
4205,Pandurang Ramchandra Mandlik ... vs Smt. Shantabai Ramchandra Ghatge ...,"Saikia, K.N. (J)","12 September, 1989"," 1989 AIR 2240, 1989 SCR  SUPL. (2)	1","Section 11 in The Special Courts Act, 1979 ; ",0,"{'see pandurang mahadeo kavade & ors. v. annaji balwant bokil & ors ': 0.8, 'dhondi tukaram v. dadoo piraji ': 0.8, 'bhimaji shanker kulkarni v. dundappa vithappa udapudi and anr ': 0.8, 'imam haidar bax razvi v. rabari govindhai ratnabhai & ors ': 0.8, 'trimbak sopana girme v. gangararn mhatarba yadav ': 0.8, 'ishverlal thakorelal almaula v. motibhai nagjibhai ': 0.8, 'pandurang hari jadhav v. shankar maruti todkar ': 0.8, 'kalicharan bhajanlal bhayya v. rai mahalaxmi ': 0.8, 'neminath appayya hanammannaver v. jambu rao satappa kocheri ': 1.0, 'jambu rao satappa kocheri v. neminath appayya hanammannaver ': 1.0, 'noor mohd. khan ghouse khan soudagar v. fakirappa bharmappa machenahalli ': 1.0, 'ramchandra rao v. ramchandra rao ': 1.0, 'bhagwan dayal v. mst ': 1.0, 'in mussamiya imam haider bax razvi v. rabari govindhai ratnabhai & ors ': 1.0, 'secretary of state v. mask & co ': 1.0, 'trimbak sopana girme v. gangaram mhatarba yadav ': 1.0, 'ishwerlal thakorelal almaula v. motibhai nagjibhai ': 1.0, 'kalicharan bhajan- lal bhayya v. rai mahalaxmi ': 1.0, 'jarnbu rao satappa kocheri v. neminath appayya hanamrnannaver ': 1.0, 'in pandurang mahadeo kavade & ors. v. annaji balwant bokil & ors ': 1.0, 'in ramchandra rao v. ramchandra rao ': 1.0, 'in bhagwan dayal v. mst ': 1.0}"
4206,Aphali Pharmaceuticals Ltd vs State Of Maharashtra & Ors,"Saikia, K.N. (J)","19 September, 1989"," 1989 AIR 2227, 1989 SCR  SUPL. (1) 129","Section 3 in the Drugs (Control) Act, 1950 ; Section 2 in the Drugs (Control) Act, 1950 ; ",0,"{'bihta marketing union v. bank of bihar ': 0.8, 'state of bombay v. united motors ': 0.8, 'collector of customs v. g. dass & co ': 0.8, 'burmah shell oil ltd. v. commercial tax officer ': 0.8, 'dattatraya govind mahajan v. state of maharashtra ': 1.0, 'mohanlal maganlal bhavsar v. union of india ': 1.0, 'commissioner of sales tax v. the modi sugar mills ltd ': 1.0, 'in state of bombay v. united motors ': 1.0, 'in hiralal ratanlal v. state of u.p ': 1.0, 'in mohanlal maganlal bhavsar v. union of india ': 1.0, 'in commissioner of sales tax v. the modi sugar mills ltd ': 1.0}"
4207,Majati Subbarao vs P.K.K. Krishna Rao (Deceased) By ...,"Kania, M.H.","19 September, 1989"," 1989 AIR 2187, 1989 SCR  SUPL. (1) 153","Section 108 in The Transfer of Property Act, 1882 ; Section 111 in The Transfer of Property Act, 1882 ; ",0,"{'kundan mal v. gurudutta, judgments ': 0.8, 'sada ram and others v. gajjan shiama ': 0.8, 'in v. dhanapal chettiar v. yesodai arnrnal ': 1.0, 'shiv parshad v. smt. shila rani ': 1.0}"
4208,Union Of India & Ors. Etc. Etc vs Dr. S. Krishna Murthy & Ors. Etc. ...,"Dutt, M.M. (J)","26 September, 1989"," 1989 SCR, SUPL. (1) 275  1989 SCC  (4) 689","Section 3 in The Insurance (Amendment) Act, 2002 ; Article 148 in The Constitution Of India 1949 ; Article 309 in The Constitution Of India 1949 ; 'article 309 ORR army rules 1954' ; ",1,"{'a. janaradhana v. union of india ': 1.0, 'a. janard- hana v. union of india ': 1.0}"
4209,"Shafiq Ahmad vs District Magistrate, Meerut & Ors","Mukharji, Sabyasachi (J)","6 September, 1989"," 1990 AIR  220, 1989 SCR  SUPL. (1)  56","Section 7 in The National Security Act, 1980 ; Article 32 in The Constitution Of India 1949 ; ",1,"{'nizamuddin v. the state of west bengal ': 0.8, 'bhawarlal ganeshmalji v. state of tamil nadu & ant ': 0.8, 'indradeo mahato v. state of west bengal ': 0.8, 'state of gujarat v. adam kasam bhaya ': 1.0, 'kanu biswas v. state of west bengal ': 1.0, 'bhawarlal ganeshmalji v. state of tamil nadu & anr ': 1.0, 'the state of gujarat v. adam kasam bhaya ': 1.0}"
4210,"Wallace Flour Mills Company Ltd vs Collector Of Central Excise, ...","Mukharji, Sabyasachi (J)","28 September, 1989"," 1989 SCR, SUPL. (1) 311  1989 SCC  (4) 592","Section 2 in The Salt Cess Act, 1953 ; ",0,"{'karnataka cement pipe factory v. supdt. of central excise ': 0.8, 'tamil nadu (madras state) handloom weavers co-operative society ltd. v. assistant collector of central excise ': 0.8, 'kirloskar brothers ltd. v. union of india ': 0.8, 'union of india v. kirloskar brothers ltd ': 1.0, 'new chemicals ltd. v. union of india ': 1.0, 'union of india v. delhi cloth & general mills ': 1.0, 'tamil nadu (madras state) handlook weavers cooperative society ltd. v. assistant collector of central excise ': 1.0}"
